ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6598	51	2004CG_0051-LongPoint.jpg	2004CG_0051-LongPoint.jpg	2004CG_0051-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6599	52	2004CG_0052-LongPoint.jpg	2004CG_0052-LongPoint.jpg	2004CG_0052-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6600	53	2004CG_0053-NearLakeErie.jpg	2004CG_0053-NearLakeErie.jpg	2004CG_0053-NearLakeErie.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6601	54	2004CG_0054-NearLakeErie.jpg	2004CG_0054-NearLakeErie.jpg	2004CG_0054-NearLakeErie.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6602	55	2004CG_0055-NearLakeErie.jpg	2004CG_0055-NearLakeErie.jpg	2004CG_0055-NearLakeErie.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6603	56	2004CG_0056-NearLakeErie.jpg	2004CG_0056-NearLakeErie.jpg	2004CG_0056-NearLakeErie.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6604	57	2004CG_0057-NearLakeErie.jpg	2004CG_0057-NearLakeErie.jpg	2004CG_0057-NearLakeErie.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6605	58	2004CG_0058-MiriamMotelLongPoint.jpg	2004CG_0058-MiriamMotelLongPoint.jpg	2004CG_0058-MiriamMotelLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6606	59	2004CG_0059-MiriamMotelLongPoint.jpg	2004CG_0059-MiriamMotelLongPoint.jpg	2004CG_0059-MiriamMotelLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6607	60	2004CG_0060-MiriamMotelLongPoint.jpg	2004CG_0060-MiriamMotelLongPoint.jpg	2004CG_0060-MiriamMotelLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6608	61	2004CG_0061-MiriamLongPoint.jpg	2004CG_0061-MiriamLongPoint.jpg	2004CG_0061-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6609	62	2004CG_0062-LongPoint.jpg	2004CG_0062-LongPoint.jpg	2004CG_0062-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6610	63	2004CG_0063-PlantsLongPoint.jpg	2004CG_0063-PlantsLongPoint.jpg	2004CG_0063-PlantsLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6611	64	2004CG_0064-PlantsLongPoint.jpg	2004CG_0064-PlantsLongPoint.jpg	2004CG_0064-PlantsLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6612	65	2004CG_0065-PlantsLongPoint.jpg	2004CG_0065-PlantsLongPoint.jpg	2004CG_0065-PlantsLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6613	66	2004CG_0066-PlantsLongPoint.jpg	2004CG_0066-PlantsLongPoint.jpg	2004CG_0066-PlantsLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6614	67	2004CG_0067-MiriamLongPoint.jpg	2004CG_0067-MiriamLongPoint.jpg	2004CG_0067-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6615	68	2004CG_0068-MiriamLongPoint.jpg	2004CG_0068-MiriamLongPoint.jpg	2004CG_0068-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6616	69	2004CG_0069-MiriamLongPoint.jpg	2004CG_0069-MiriamLongPoint.jpg	2004CG_0069-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6617	70	2004CG_0070-MiriamLongPoint.jpg	2004CG_0070-MiriamLongPoint.jpg	2004CG_0070-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6618	71	2004CG_0071-MiriamLongPoint.jpg	2004CG_0071-MiriamLongPoint.jpg	2004CG_0071-MiriamLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6619	72	2004CG_0072-ShadowsLongPoint.jpg	2004CG_0072-ShadowsLongPoint.jpg	2004CG_0072-ShadowsLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
